Experiment Version,Participant Private ID,Current Spreadsheet,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: word-a,Spreadsheet: word-b,Spreadsheet: word-answer,Spreadsheet: meaning-prompt,Spreadsheet: meaning-a,Spreadsheet: meaning-b,Response,Correct,Reaction Time
18.0,13344171.0,condition-3,16.0,v7,visual,v7kh-kiritto.mp4,v7hk-boNyari.mp4,v7kh-kiritto.mp4,"crisp appearance, stiffly","crisp appearance, stiffly","dim, faint, indistinct",v7hk-boNyari.mp4,0,10043.200000000012
18.0,13344171.0,condition-3,17.0,v5,visual,v5hk-busuri.mp4,v5kh-nikoniko.mp4,v5kh-nikoniko.mp4,"smilingly, with a grin","smilingly, with a grin","poutingly, displeasure",v5hk-busuri.mp4,0,9236.10000001191
18.0,13344171.0,condition-3,18.0,a2,auditory,a2hk-zyaazyaa.mp4,a2kh-potapota.mp4,a2hk-zyaazyaa.mp4,noisily gushing,noisily gushing,"dripping, trickling",a2hk-zyaazyaa.mp4,1,8143.90000002383
18.0,13344171.0,condition-3,19.0,i3,interoceptive,i3hk-sukkiri.mp4,i3kh-iraira.mp4,i3kh-iraira.mp4,"to get irritated, annoyed","refreshingly, with a feeling fo relief","to get irritated, annoyed",i3kh-iraira.mp4,1,10166.600000000037
18.0,13344171.0,condition-3,20.0,v8,visual,v8kh-garigari.mp4,v8hk-marumaru.mp4,v8hk-marumaru.mp4,"plump, rotund, chubby","very skinny, emaciated","plump, rotund, chubby",v8hk-marumaru.mp4,1,9362.600000023842
18.0,13344171.0,condition-3,21.0,v6,visual,v6kh-gotugotu.mp4,v6hk-huNwari.mp4,v6hk-huNwari.mp4,"gently, airily, fluffy","gently, airily, fluffy","rugged, scragged, angular",v6hk-huNwari.mp4,1,7950.0
18.0,13344171.0,condition-3,22.0,v0,visual,v0kh-tiratira.mp4,v0hk-kukkiri.mp4,v0hk-kukkiri.mp4,"clearly, distinctly, sharply","flickering, fluttering","clearly, distinctly, sharply",v0hk-kukkiri.mp4,1,8646.199999988079
18.0,13344171.0,condition-3,23.0,a4,auditory,a4hk-zuruzuru.mp4,a4kh-poripori.mp4,a4hk-zuruzuru.mp4,with a slurp,"munching, crunching",with a slurp,a4hk-zuruzuru.mp4,1,8981.60000001191
18.0,13344171.0,condition-3,24.0,v4,visual,v4hk-bissiri.mp4,v4kh-barabara.mp4,v4hk-bissiri.mp4,"closely lined up, densely","scattered, in pieces","closely lined up, densely",v4kh-barabara.mp4,0,11074.39999998809
18.0,13344171.0,condition-3,25.0,i0,interoceptive,i0hk-uNzari.mp4,i0kh-wakuwaku.mp4,i0hk-uNzari.mp4,"boredom, tedious, fed up with","excitement, nervous","boredom, tedious, fed up with",i0hk-uNzari.mp4,1,8872.400000035763
